Expertise,Code,Expertise Group,Segment,Default Role,Flag,Enable,Trainee,Intern,Professional Track L1,Professional Track L2,Professional Track L3,Professional Track L4,Professional Track L5,Management Track L3,Management Track L4,Management Track L5,Leadership Track L4,Leadership Track L5,Leadership Track L6
Software,E01,Technical,BUILD,Software Engineer,TI5,1,Software Trainee,Software Intern,Associate Software Engineer,Software Engineer,Senior Software Engineer,Staff Software Engineer,Principal Software Engineer,Technical Lead,Head of Technical,Chief Technical Officer,Product Head,Head of Division,CEO
Hardware,E02,Technical,BUILD,Hardware Engineer,TI5,0,Hardware Trainee,Hardware Intern,Associate Hardware Engineer,Hardware Engineer,Senior Hardware Engineer,Staff Hardware Engineer,Principal Hardware Engineer,Technical Lead,Head of Technical,Chief Technical Officer,Product Head,Head of Division,CEO
Security,E03,Technical,BUILD,Security Engineer,TI3,1,Security Trainee,Security Intern,Associate Security Engineer,Security Engineer,Senior Security Engineer,,,Technical Lead,Head of Technical,Chief Technical Officer,Product Head,Head of Division,CEO
Devops,E04,Technical,BUILD,Devops Engineer,TI3,0,Devops Trainee,Devops Intern,Associate Devops Engineer,Devops Engineer,Senior Devops Engineer,,,Technical Lead,Head of Technical,Chief Technical Officer,Product Head,Head of Division,CEO
Product Manager,E05,Product,BUILD,Product Manager,TI5,1,Product Manager Trainee,Product Manager Intern,Associate Product Manager,Product Manager,Senior Product Manager,Staff Product Manager,Principal Product Manager,Product Team Lead,Head of Product Management,Chief Product Officer,Product Head,Head of Division,CEO
Product Owner,E06,Product,BUILD,Product Owner,NI3,1,,Product Owner Intern,Associate Product Owner,Product Owner,Senior Product Owner,,,Product Team Lead,Head of Product Management,Chief Product Officer,Product Head,Head of Division,CEO
UI/UX,E07,Product,BUILD,UI/UX Designer,NI5,1,,UI/UX Designer Intern,Associate UI/UX Designer,UI/UX Designer,Senior UI/UX Designer,Staff UI/UX Designer,Principal UI/UX Designer,UI/UX Designer Lead,Head of Product Management,Chief Product Officer,,Head of Division,CEO
Partnership,E08,Partnership,BUILD,Partnership Executive,TI3,1,Partnership Trainee,Partnership Intern,Associate Partnership Executive,Partnership Executive,Senior Partnership Executive,,,Partnership Team Lead,Head of Partnership,Chief Partnership Officer,,Head of Division,CEO
Warehouse,E09,Manufacturer,BUILD,Warehouse Executive,NI3,1,,Warehouse Intern,Associate Warehouse Executive,Warehouse Executive,Senior Warehouse Executive,,,Supply Chain Manager,Head of Manufacturer,Chief Manufacturing Officer,Product Head,Head of Division,CEO
Marketing,E10,Marketing,SALE,Marketing Executive,TI3,1,Marketing Trainee,Marketing Intern,Associate Marketing Executive,Marketing Executive,Senior Marketing Executive,,,Marketing Team Lead,Head of Marketing,Chief Marketing Officer,Product Head,Head of Division,CEO
Account,E11,Sale,SALE,Account Manager,NI3,1,,Account Manager Intern,Associate Account Manager,Account Manager,Senior Account Manager,,,Account Team Lead,Head of Sale,Chief Sale Officer,Product Head,Head of Division,CEO
Customer Success,E12,CS,SERVICE,Customer Success Specialist,NI3,1,,Customer Success Intern,Associate Customer Success Specialist,Customer Success Specialist,Senior Customer Success Specialist,,,Customer Success Team Lead,Head of Customer Success,Chief Customer Experience Officer,Product Head,Head of Division,CEO
System Admin,E13,IT,SERVICE,System Administrator ,TI3,1,System Administrator  Trainee,System Administrator  Intern,Associate System Administrator ,System Administrator ,Senior System Administrator ,,,System Admin Team Lead,Head of IT,Chief Information Officer,,Head of Division,CEO
Call Center,E14,CS,SERVICE,Call Center Agent,NI2,1,,Call Center Agent Intern,Associate Call Center Agent,Call Center Agent,,,,Call Center Team Lead,Head of Customer Success,Chief Customer Experience Officer,,Head of Division,CEO
HR,E15,Admin,MANAGE,HR Specialist,NI3,1,,HR Intern,Associate HR Specialist,HR Specialist,Senior HR Specialist,,,HR Team Lead,,Chief Human Resource Officier,,Head of Division,CEO
Admin,E16,Admin,MANAGE,Administrative Specialist,NI3,1,,Administrative Intern,Associate Administrative Specialist,Administrative Specialist,Senior Administrative Specialist,,,Admin Team Lead,,Chief Operation Officer,,Head of Division,CEO
Legal,E17,Legal,MANAGE,Legal Specialist,NI3,0,,Legal Intern,Associate Legal Specialist,Legal Specialist,Senior Legal Specialist,,,Legal Team Lead,,Chief Legal Officer,,Head of Division,CEO
Accounting,E18,Accounting,PROFIT,Accountant,NI2,1,,Accountant Intern,Associate Accountant,Accountant,,,,Acountant Team Lead,Chief Accountant,Chief Finance Officer,,Head of Division,CEO
Finance,E19,Finance,PROFIT,Finance Specialist,NI2,0,,Finance Intern,Associate Finance Specialist,Finance Specialist,,,,Finance Team Lead,Head of Finance,Chief Finance Officer,,Head of Division,CEO
